step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.03,3,7.0
20.0,0.009999999999999998,11,37.0
25.0,-0.11,12,87.0
30.0,-0.19,12,123.0
35.0,0.12,9,106.0
40.0,0.11000000000000001,17,105.0
45.0,-0.15,28,214.0
50.0,-0.2,36,366.0
55.0,0.09999999999999998,32,398.0
60.0,0.28,37,394.0
65.0,-0.07,32,450.0
70.0,0.07,31,372.0
75.0,0.009999999999999995,47,396.0
80.0,0.020000000000000004,59,571.0
85.0,-0.1,79,900.0
90.0,-0.2,97,1325.0
95.0,-0.3,110,1837.0
100.0,-0.39,115,2394.0
105.0,-0.49,124,2999.0
110.0,-0.5799999999999998,131,3637.0
115.0,-0.6800000000000002,139,4313.0
120.0,-0.77,145,5026.0
125.0,-0.8499999999999996,152,5772.0
130.0,-0.9300000000000006,160,6557.0
135.0,-1.0099999999999998,168,7377.0
140.0,-1.1100000000000003,175,8237.0
145.0,-1.21,183,9135.0
150.0,-1.33,190,10073.0
155.0,-1.42,197,11043.0
160.0,-1.4900000000000002,205,12051.0
165.0,-1.58,211,13093.0
170.0,-1.679999999999998,219,14173.0
175.0,-1.7800000000000011,220,15271.0
180.0,-1.8599999999999994,222,16377.0
185.0,-1.9000000000000021,222,17487.0
190.0,-1.8999999999999986,222,18597.0
195.0,-1.8999999999999986,222,19707.0
200.0,-1.9000000000000021,222,20817.0
205.0,-1.8999999999999986,222,21927.0
210.0,-1.9000000000000021,222,23037.0
215.0,-1.9000000000000021,222,24147.0
220.0,-1.8999999999999986,222,25257.0
225.0,-1.8999999999999986,222,26367.0
230.0,-1.8999999999999986,222,27477.0
235.0,-1.8999999999999986,222,28587.0
240.0,-1.9000000000000057,222,29697.0
245.0,-1.8999999999999986,222,30807.0
250.0,-1.8999999999999986,222,31917.0
255.0,-1.8999999999999986,222,33027.0
260.0,-1.8999999999999986,222,34137.0
265.0,-1.9000000000000057,222,35247.0
270.0,-1.8999999999999986,222,36357.0
275.0,-1.8999999999999986,222,37467.0
280.0,-1.8999999999999986,222,38577.0
