step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,1,0.0
25215.0,0.0,2,1.0
25220.0,-0.03,3,11.0
25225.0,-0.05,6,33.0
25230.0,0.08,5,30.0
25235.0,0.0,2,11.0
25240.0,0.0,2,12.0
25245.0,-0.03,3,17.0
25250.0,-0.010000000000000002,3,21.0
25255.0,-0.07999999999999999,5,36.0
25260.0,0.06,3,38.0
25265.0,-0.010000000000000009,6,59.0
25270.0,-0.1,4,67.0
25275.0,0.0,2,33.0
25280.0,0.15000000000000002,1,13.0
25285.0,0.0,3,15.0
25290.0,-0.030000000000000002,7,34.0
25295.0,-0.039999999999999994,8,66.0
25300.0,-0.05000000000000002,4,69.0
25305.0,-0.04999999999999999,4,81.0
25310.0,-0.04999999999999999,5,105.0
25315.0,-0.04999999999999999,6,123.0
25320.0,0.26999999999999996,4,118.0
25325.0,0.0,2,86.0
25330.0,0.0,4,27.0
25335.0,-0.039999999999999994,4,33.0
25340.0,-0.09,6,64.0
25345.0,-0.020000000000000018,4,63.0
25350.0,-0.11999999999999997,9,81.0
25355.0,0.19999999999999998,7,95.0
25360.0,0.09,10,126.0
25365.0,0.0,4,110.0
25370.0,-0.15,2,49.0
25375.0,-0.05000000000000002,4,44.0
25380.0,-0.10999999999999999,7,76.0
25385.0,0.15,2,57.0
25390.0,-0.010000000000000009,7,78.0
25395.0,-0.07999999999999999,6,101.0
25400.0,-0.09999999999999998,7,132.0
25405.0,-0.12,10,176.0
25410.0,-0.15000000000000002,7,164.0
25415.0,-0.15000000000000002,7,185.0
25420.0,-0.15000000000000002,10,227.0
25425.0,-0.15000000000000002,6,203.0
25430.0,0.2400000000000001,3,106.0
25435.0,0.72,6,46.0
25440.0,-0.05,6,71.0
25445.0,-0.11000000000000001,6,65.0
25450.0,-0.14999999999999997,6,91.0
25455.0,-0.14999999999999997,5,94.0
25460.0,0.42999999999999994,5,72.0
25465.0,0.09000000000000001,8,89.0
25470.0,-0.05,7,122.0
25475.0,-0.04999999999999999,7,157.0
25480.0,-0.1,13,205.0
25485.0,-0.15000000000000002,12,243.0
25490.0,-0.19999999999999996,18,324.0
25495.0,0.14999999999999997,11,311.0
25500.0,0.06,12,325.0
25505.0,-0.09999999999999998,14,388.0
25510.0,-0.09999999999999998,11,427.0
25515.0,-0.10999999999999999,13,464.0
25520.0,-0.15000000000000002,12,524.0
25525.0,-0.15000000000000002,11,536.0
25530.0,-0.1499999999999999,13,563.0
25535.0,-0.15000000000000013,14,632.0
25540.0,-0.18999999999999995,17,710.0
25545.0,1.17,14,660.0
25550.0,0.31,16,704.0
25555.0,0.01,11,547.0
25560.0,0.0,7,286.0
25565.0,0.0,8,292.0
25570.0,-0.05,17,360.0
25575.0,-0.08,18,381.0
25580.0,0.05,16,445.0
25585.0,-0.05,19,529.0
25590.0,0.13,24,519.0
25595.0,0.0,16,456.0
25600.0,-0.07,7,284.0
25605.0,-0.12,7,181.0
25610.0,-0.15000000000000002,10,224.0
25615.0,-0.2,16,298.0
25620.0,-0.25,23,401.0
25625.0,0.32000000000000006,20,414.0
25630.0,0.44999999999999996,12,237.0
25635.0,0.0,12,280.0
25640.0,-0.039999999999999994,19,379.0
25645.0,-0.05,11,315.0
25650.0,-0.12000000000000001,4,165.0
25655.0,-0.07999999999999999,4,136.0
25660.0,-0.13,8,165.0
25665.0,-0.16999999999999998,12,195.0
25670.0,-0.35,16,220.0
25675.0,0.49,13,215.0
25680.0,0.43,17,250.0
25685.0,0.0,18,311.0
25690.0,-0.060000000000000005,17,348.0
25695.0,-0.16,21,424.0
25700.0,-0.20999999999999996,25,511.0
25705.0,-0.3400000000000001,26,574.0
25710.0,-0.44999999999999996,29,709.0
25715.0,-0.3699999999999999,25,696.0
25720.0,-0.45999999999999996,20,642.0
25725.0,0.04999999999999982,16,619.0
25730.0,0.31000000000000005,20,651.0
25735.0,-0.31000000000000005,24,746.0
25740.0,-0.3500000000000001,30,890.0
25745.0,0.29000000000000004,21,856.0
25750.0,1.4000000000000001,21,755.0
25755.0,-0.16000000000000003,22,849.0
25760.0,-0.30999999999999994,29,940.0
25765.0,0.04999999999999982,27,980.0
25770.0,0.07000000000000006,31,1073.0
25775.0,-0.1499999999999999,28,1172.0
25780.0,-0.26,33,1325.0
25785.0,-0.30000000000000004,39,1509.0
25790.0,-0.32000000000000006,31,1368.0
25795.0,0.06000000000000005,19,826.0
25800.0,0.050000000000000044,20,771.0
25805.0,-0.17999999999999994,23,861.0
25810.0,-0.20000000000000018,24,983.0
25815.0,-0.21999999999999975,28,1087.0
25820.0,-0.30000000000000027,32,1237.0
25825.0,-0.3799999999999999,32,1389.0
25830.0,0.10000000000000009,29,1500.0
25835.0,0.1299999999999999,27,1531.0
25840.0,0.9700000000000002,16,1241.0
25845.0,1.9999999999999998,12,835.0
25850.0,-0.06999999999999999,18,834.0
25855.0,-0.16000000000000003,25,853.0
25860.0,-0.18,19,680.0
25865.0,-0.2,15,487.0
25870.0,-0.22999999999999998,13,466.0
25875.0,-0.30999999999999994,17,520.0
25880.0,-0.3500000000000001,23,616.0
25885.0,-0.34999999999999987,23,679.0
25890.0,0.5899999999999999,16,580.0
25895.0,1.1300000000000001,10,416.0
25900.0,0.18,12,447.0
25905.0,0.0,16,537.0
25910.0,0.0,20,518.0
25915.0,-0.06,20,410.0
25920.0,-0.11000000000000001,15,412.0
25925.0,0.11000000000000001,8,310.0
25930.0,0.06,7,227.0
25935.0,-0.01,6,207.0
25940.0,0.0,6,192.0
25945.0,0.01,11,190.0
25950.0,-0.08,12,232.0
25955.0,-0.09999999999999999,16,299.0
25960.0,-0.13,10,273.0
25965.0,0.27,7,208.0
25970.0,0.02,7,238.0
25975.0,0.0,6,257.0
25980.0,-0.009999999999999998,10,287.0
25985.0,-0.1,15,347.0
25990.0,0.13,19,409.0
25995.0,0.0,11,426.0
26000.0,-0.04,17,461.0
26005.0,0.0,20,551.0
26010.0,0.02,18,621.0
26015.0,-0.06999999999999999,17,658.0
26020.0,-0.25,26,774.0
26025.0,-0.37999999999999995,26,863.0
26030.0,0.14,27,942.0
26035.0,-0.21000000000000008,29,936.0
26040.0,-0.3999999999999999,26,775.0
26045.0,-0.09000000000000008,28,860.0
26050.0,0.41000000000000003,25,888.0
26055.0,0.30999999999999994,24,937.0
26060.0,-0.06999999999999995,24,1041.0
26065.0,-0.30000000000000004,27,1132.0
