step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,0.0
25215.0,0.0,0,1.0
25220.0,-0.02,1,3.0
25225.0,0.02,1,1.0
25230.0,-0.03,4,6.0
25235.0,-0.05,2,11.0
25240.0,-0.06999999999999999,4,19.0
25245.0,-0.1,5,36.0
25250.0,-0.06,6,46.0
25255.0,-0.14,4,49.0
25260.0,-0.23999999999999994,6,75.0
25265.0,-0.28,11,118.0
25270.0,-0.5,13,176.0
25275.0,-0.3800000000000001,8,202.0
25280.0,-0.46999999999999975,14,262.0
25285.0,0.8199999999999998,10,213.0
25290.0,1.1,5,120.0
25295.0,-0.019999999999999962,3,77.0
25300.0,-0.11000000000000004,5,90.0
25305.0,0.30000000000000004,4,75.0
25310.0,0.21000000000000002,1,38.0
25315.0,0.0,8,59.0
25320.0,-0.02,2,76.0
25325.0,-0.010000000000000002,7,82.0
25330.0,-0.08,6,59.0
25335.0,-0.010000000000000009,5,51.0
25340.0,0.12000000000000001,0,10.0
25345.0,-0.02,0,8.0
25350.0,-0.049999999999999996,4,24.0
25355.0,0.049999999999999996,5,32.0
25360.0,-0.04,3,42.0
25365.0,0.020000000000000004,3,47.0
25370.0,-0.18,8,76.0
25375.0,0.12,4,43.0
25380.0,-0.05000000000000002,6,48.0
25385.0,0.07,7,74.0
25390.0,-0.03,8,68.0
25395.0,0.04000000000000001,5,87.0
25400.0,0.009999999999999995,2,87.0
25405.0,0.0,1,57.0
25410.0,-0.05,3,31.0
25415.0,0.05,3,30.0
25420.0,0.0,1,15.0
25425.0,-0.009999999999999995,0,15.0
25430.0,-0.03,2,17.0
25435.0,-0.05000000000000002,2,23.0
25440.0,-0.04999999999999999,1,22.0
25445.0,0.2,3,7.0
25450.0,-0.05,4,20.0
25455.0,0.060000000000000005,2,25.0
25460.0,0.0,2,37.0
25465.0,-0.049999999999999996,5,55.0
25470.0,-0.05,4,75.0
25475.0,0.08,6,91.0
25480.0,-0.05,7,123.0
25485.0,-0.05,4,121.0
25490.0,-0.04999999999999999,6,138.0
25495.0,0.10999999999999999,7,154.0
25500.0,-0.1,5,132.0
25505.0,-0.1,6,101.0
25510.0,0.27,0,10.0
25515.0,0.0,1,4.0
25520.0,0.0,0,4.0
25525.0,0.0,0,7.0
25530.0,0.0,1,8.0
25535.0,0.0,2,14.0
25540.0,-0.05,2,20.0
25545.0,0.05,3,26.0
25550.0,0.0,2,33.0
25555.0,0.0,2,38.0
25560.0,0.0,5,27.0
25565.0,0.0,3,38.0
25570.0,0.0,1,25.0
25575.0,0.0,2,5.0
25580.0,-0.05,6,29.0
25585.0,0.020000000000000004,5,35.0
25590.0,-0.05,3,12.0
25595.0,0.06,3,10.0
25600.0,-0.05,2,22.0
25605.0,-0.04999999999999999,4,38.0
25610.0,-0.05000000000000002,2,46.0
25615.0,-0.04999999999999999,3,55.0
25620.0,-0.05000000000000002,7,81.0
25625.0,-0.04999999999999999,9,114.0
25630.0,0.32,8,104.0
25635.0,-0.01,7,98.0
25640.0,0.01,6,80.0
25645.0,0.0,2,56.0
25650.0,-0.02,6,18.0
25655.0,-0.09,8,42.0
25660.0,-0.06999999999999999,9,77.0
25665.0,-0.08000000000000002,7,86.0
25670.0,0.15000000000000002,4,65.0
25675.0,0.03,2,23.0
25680.0,0.08,2,21.0
25685.0,-0.04,7,46.0
25690.0,0.03,5,46.0
25695.0,-0.049999999999999996,6,59.0
25700.0,-0.05,5,58.0
25705.0,0.1,8,64.0
25710.0,-0.049999999999999996,7,76.0
25715.0,-0.06,4,77.0
25720.0,-0.11000000000000001,4,76.0
25725.0,0.19,6,75.0
25730.0,0.04,5,85.0
25735.0,0.0,6,106.0
25740.0,0.0,4,128.0
25745.0,-0.01,10,158.0
25750.0,-0.07,5,58.0
25755.0,-0.15000000000000002,8,63.0
25760.0,-0.19999999999999998,12,112.0
25765.0,0.22,6,102.0
25770.0,0.21,5,74.0
25775.0,0.0,6,89.0
25780.0,0.0,2,65.0
25785.0,0.0,4,30.0
25790.0,0.0,5,55.0
25795.0,0.0,8,71.0
25800.0,0.0,8,80.0
25805.0,0.0,4,73.0
25810.0,0.0,2,72.0
25815.0,-0.04,6,94.0
25820.0,0.04,1,56.0
25825.0,0.0,2,11.0
25830.0,0.0,2,19.0
25835.0,0.0,5,39.0
25840.0,0.0,6,65.0
25845.0,0.0,8,84.0
25850.0,0.0,9,79.0
25855.0,-0.04,8,87.0
25860.0,0.04,7,86.0
25865.0,0.0,6,68.0
25870.0,-0.01,4,68.0
25875.0,-0.060000000000000005,14,107.0
25880.0,-0.1,13,123.0
25885.0,-0.1,7,117.0
25890.0,0.27,3,68.0
25895.0,-0.01,6,81.0
25900.0,-0.049999999999999996,3,82.0
25905.0,0.06,2,63.0
25910.0,0.0,2,15.0
25915.0,0.0,11,46.0
25920.0,0.0,5,67.0
25925.0,-0.02,3,64.0
25930.0,-0.039999999999999994,4,71.0
25935.0,0.039999999999999994,9,76.0
25940.0,0.0,8,93.0
25945.0,0.0,12,127.0
25950.0,-0.06999999999999999,13,186.0
25955.0,-0.1,18,255.0
25960.0,-0.09999999999999998,15,319.0
25965.0,0.22999999999999998,16,372.0
25970.0,0.019999999999999997,14,404.0
25975.0,0.0,12,327.0
25980.0,0.0,10,343.0
25985.0,-0.04,15,410.0
25990.0,-0.09999999999999999,20,455.0
25995.0,-0.16000000000000003,18,443.0
26000.0,-0.22000000000000003,21,502.0
26005.0,-0.2799999999999999,22,599.0
26010.0,-0.22000000000000008,23,698.0
26015.0,-0.3999999999999999,26,736.0
26020.0,-0.45999999999999996,24,716.0
26025.0,-0.5800000000000001,27,744.0
26030.0,-0.6000000000000001,24,821.0
26035.0,-0.52,28,900.0
26040.0,-0.7000000000000002,31,1034.0
26045.0,-0.8999999999999995,33,1171.0
26050.0,1.67,25,1079.0
26055.0,2.0999999999999996,24,954.0
26060.0,0.040000000000000036,21,708.0
26065.0,-0.5,26,428.0
26070.0,-0.6300000000000001,25,451.0
26075.0,-0.31000000000000005,27,510.0
26080.0,-0.029999999999999805,27,552.0
26085.0,-0.41000000000000014,26,619.0
26090.0,-0.6600000000000001,24,655.0
26095.0,-0.7199999999999998,25,647.0
26100.0,-0.7700000000000005,28,745.0
26105.0,1.3200000000000003,15,597.0
26110.0,3.0300000000000002,11,309.0
26115.0,-0.2899999999999998,11,297.0
26120.0,-0.2400000000000002,13,326.0
26125.0,0.15000000000000013,7,270.0
26130.0,0.3599999999999999,13,218.0
26135.0,-0.2799999999999998,21,290.0
26140.0,-0.51,22,358.0
26145.0,-0.10000000000000009,23,358.0
26150.0,0.54,20,327.0
26155.0,-0.3900000000000001,19,364.0
26160.0,-0.5800000000000001,17,326.0
26165.0,-0.7399999999999998,21,403.0
26170.0,-0.9500000000000002,29,531.0
26175.0,-0.5199999999999996,32,640.0
26180.0,-0.9800000000000004,34,794.0
26185.0,-1.12,38,941.0
26190.0,-1.2400000000000002,42,1138.0
26195.0,-1.2899999999999991,38,1248.0
26200.0,-1.2699999999999996,30,1239.0
26205.0,-1.3100000000000005,28,1336.0
26210.0,-1.5600000000000005,39,1512.0
26215.0,-0.4499999999999993,32,1519.0
26220.0,0.6199999999999992,28,1439.0
26225.0,-1.1600000000000001,32,1583.0
26230.0,-1.3599999999999994,40,1761.0
26235.0,-1.4900000000000002,38,1892.0
26240.0,-1.5,41,1986.0
26245.0,-1.5599999999999987,41,2148.0
26250.0,-1.620000000000001,40,2318.0
26255.0,3.0599999999999987,27,1982.0
26260.0,8.330000000000002,13,1140.0
26265.0,1.3899999999999988,13,1009.0
26270.0,2.24,16,796.0
26275.0,-0.54,20,818.0
26280.0,-0.6800000000000006,22,892.0
26285.0,-0.8199999999999985,27,990.0
26290.0,0.4499999999999993,24,993.0
26295.0,0.8399999999999999,20,942.0
