step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,1,0.0
25215.0,0.0,1,0.0
25220.0,0.0,0,0.0
25225.0,0.0,1,0.0
25230.0,0.0,2,0.0
25235.0,0.0,0,0.0
25240.0,0.0,1,0.0
25245.0,0.0,1,0.0
25250.0,0.0,3,7.0
25255.0,-0.07,5,26.0
25260.0,-0.01999999999999999,5,34.0
25265.0,0.009999999999999995,6,43.0
25270.0,-0.11,9,80.0
25275.0,0.13,7,94.0
25280.0,0.06,8,103.0
25285.0,0.0,8,143.0
25290.0,-0.02,12,196.0
25295.0,-0.009999999999999998,8,199.0
25300.0,-0.05,1,91.0
25305.0,0.08,1,29.0
25310.0,0.0,5,50.0
25315.0,-0.01,6,39.0
25320.0,0.0,2,29.0
25325.0,0.0,1,3.0
25330.0,-0.01,2,7.0
25335.0,0.0,3,18.0
25340.0,-0.02,3,19.0
25345.0,-0.1,2,20.0
25350.0,-0.14999999999999997,4,33.0
25355.0,-0.2,7,68.0
25360.0,-0.15000000000000002,5,88.0
25365.0,0.41000000000000003,2,55.0
25370.0,0.15000000000000002,4,52.0
25375.0,0.009999999999999995,2,59.0
25380.0,0.0,5,80.0
25385.0,0.0,8,111.0
25390.0,0.0,2,59.0
25395.0,0.0,2,31.0
25400.0,0.020000000000000004,1,28.0
25405.0,0.0,3,23.0
25410.0,0.0,1,29.0
25415.0,0.0,3,23.0
25420.0,0.05,3,31.0
25425.0,0.0,4,47.0
25430.0,0.0,2,21.0
25435.0,-0.05,5,41.0
25440.0,-0.05,4,54.0
25445.0,-0.07,5,52.0
25450.0,-0.1,2,27.0
25455.0,-0.09999999999999998,4,45.0
25460.0,-0.09999999999999998,2,49.0
25465.0,-0.09999999999999998,3,59.0
25470.0,0.31999999999999995,1,36.0
25475.0,0.25,3,10.0
25480.0,0.0,3,17.0
25485.0,-0.02,5,32.0
25490.0,0.02,1,13.0
25495.0,-0.02,5,20.0
25500.0,0.02,0,9.0
25505.0,0.0,1,2.0
25510.0,0.0,1,3.0
25515.0,0.0,1,8.0
25520.0,-0.04,2,17.0
25525.0,-0.049999999999999996,5,36.0
25530.0,-0.05000000000000002,2,41.0
25535.0,-0.07999999999999999,2,28.0
25540.0,-0.1,2,36.0
25545.0,-0.02999999999999997,1,39.0
25550.0,0.32999999999999996,0,6.0
25555.0,-0.05,4,20.0
25560.0,0.05,2,11.0
25565.0,-0.009999999999999998,4,19.0
25570.0,-0.05,6,38.0
25575.0,0.03,10,70.0
25580.0,-0.05,9,111.0
25585.0,0.05,10,148.0
25590.0,-0.05,9,165.0
25595.0,-0.06,8,148.0
25600.0,0.08,6,86.0
25605.0,0.04,4,72.0
25610.0,0.0,5,75.0
25615.0,-0.07999999999999999,5,56.0
25620.0,0.01999999999999999,0,21.0
25625.0,0.020000000000000004,2,12.0
25630.0,-0.05,2,22.0
25635.0,-0.07,5,35.0
25640.0,-0.14999999999999997,9,62.0
25645.0,-0.20000000000000007,10,104.0
25650.0,0.4,5,80.0
25655.0,0.01999999999999999,6,86.0
25660.0,0.03,4,94.0
25665.0,0.04000000000000001,5,108.0
25670.0,-0.09,7,133.0
25675.0,-0.1,4,87.0
25680.0,-0.13,4,48.0
25685.0,-0.24,8,70.0
25690.0,-0.25,8,107.0
25695.0,0.39,7,92.0
25700.0,0.44999999999999996,5,62.0
25705.0,0.03,6,79.0
25710.0,-0.05,10,114.0
25715.0,-0.06,7,111.0
25720.0,-0.09999999999999999,4,56.0
25725.0,-0.18000000000000002,8,62.0
25730.0,-0.25,13,111.0
25735.0,-0.25,9,140.0
25740.0,0.41000000000000003,2,84.0
25745.0,0.48,4,57.0
25750.0,0.0,4,50.0
25755.0,-0.03,6,72.0
25760.0,-0.1,10,95.0
25765.0,-0.1,9,109.0
25770.0,-0.11999999999999997,12,144.0
25775.0,0.29,3,94.0
25780.0,0.06,2,44.0
25785.0,0.0,5,33.0
25790.0,-0.03,8,63.0
25795.0,-0.05,11,110.0
25800.0,-0.12000000000000001,12,140.0
25805.0,-0.19,13,168.0
25810.0,-0.19999999999999996,7,165.0
25815.0,-0.22999999999999998,9,137.0
25820.0,0.33999999999999997,2,82.0
25825.0,0.48,1,10.0
25830.0,0.0,0,10.0
25835.0,0.0,3,9.0
25840.0,-0.03,3,12.0
25845.0,-0.07,10,48.0
25850.0,-0.13,11,100.0
25855.0,-0.18999999999999997,15,165.0
25860.0,-0.25000000000000006,15,239.0
25865.0,-0.25,8,240.0
25870.0,-0.30999999999999994,10,175.0
25875.0,0.39,5,116.0
25880.0,0.84,4,17.0
25885.0,0.0,1,15.0
25890.0,0.0,0,4.0
25895.0,-0.04,3,10.0
25900.0,-0.1,4,26.0
25905.0,-0.14999999999999997,5,41.0
25910.0,-0.16000000000000003,12,81.0
25915.0,-0.21000000000000002,12,127.0
25920.0,-0.25,8,150.0
25925.0,0.3400000000000001,3,74.0
25930.0,0.5299999999999999,1,16.0
25935.0,0.02,1,19.0
25940.0,-0.030000000000000002,2,9.0
25945.0,-0.15000000000000002,8,22.0
25950.0,-0.21999999999999997,9,54.0
25955.0,-0.25000000000000006,13,99.0
25960.0,-0.25,15,168.0
25965.0,0.53,7,140.0
25970.0,0.37,9,134.0
25975.0,0.0,6,127.0
25980.0,0.0,2,29.0
25985.0,-0.06999999999999999,5,32.0
25990.0,-0.05000000000000002,7,35.0
25995.0,0.08000000000000002,4,37.0
26000.0,0.039999999999999994,6,57.0
26005.0,0.0,6,82.0
26010.0,0.0,9,120.0
26015.0,-0.09999999999999999,15,189.0
26020.0,-0.16000000000000003,21,282.0
26025.0,-0.20999999999999996,16,299.0
26030.0,-0.32999999999999996,22,295.0
26035.0,-0.30999999999999994,22,388.0
26040.0,0.5799999999999998,13,344.0
26045.0,0.38,15,342.0
26050.0,0.05000000000000002,14,402.0
26055.0,0.04999999999999999,12,414.0
26060.0,-0.07,16,459.0
26065.0,-0.18,23,551.0
26070.0,0.19,21,606.0
26075.0,0.11,21,686.0
26080.0,0.0,25,794.0
26085.0,0.0,13,791.0
26090.0,-0.06999999999999999,14,739.0
26095.0,-0.15,18,809.0
26100.0,-0.15000000000000002,21,908.0
26105.0,-0.26,25,988.0
26110.0,0.14,12,861.0
26115.0,0.15000000000000002,7,538.0
26120.0,0.16999999999999998,9,509.0
26125.0,0.08,15,537.0
26130.0,-0.09000000000000001,15,452.0
26135.0,-0.32,11,121.0
