episode,trainingTime,maxWaitTime,avgWaitTime,maxStopped,avgStopped,avgReward
2,0.0,11076.5,2572.123439667129,92.5,31.350901525658806,-0.008966712898751722
3,17.242151737213135,6814.5,2295.462552011096,68.0,29.05755894590846,-0.004209431345353661
4,59.33558917045593,10130.0,2014.7981969486823,93.5,28.86130374479889,-0.010180305131761432
5,74.86927247047424,9375.0,1474.1678224687935,79.5,22.536061026352286,-0.003599167822468779
6,90.5409643650055,6592.5,1245.5603328710126,82.0,21.961858529819693,-0.0015048543689320235
7,132.05895352363586,4260.0,1147.9382801664356,70.0,22.966712898751734,-0.000638002773925091
8,147.5686891078949,3304.5,837.2766990291262,63.5,19.171983356449374,-0.0019625520110956862
9,162.73047137260437,3187.0,732.9341192787795,71.5,19.09778085991678,-0.0003536754507628167
10,203.1417055130005,2156.5,547.25173370319,44.0,15.530513176144243,-0.0023855755894590727
11,218.07318449020386,2585.5,636.993758668516,63.5,16.812066574202497,-0.0010610263522884721
12,233.00342059135437,2868.0,635.4604715672676,52.5,17.09223300970874,-0.0012690707350901356
13,272.8801643848419,1613.5,431.3356449375867,46.5,14.168515950069349,-3.467406380026449e-05
14,287.25974130630493,2145.0,377.5554785020804,51.0,13.101941747572816,-9.708737864076356e-05
15,326.2703335285187,1451.0,326.504160887656,40.5,12.635922330097088,-0.0005270457697642047
16,340.70322155952454,1761.0,352.72607489597783,50.0,13.056865464632455,-0.000665742024965314
17,355.162428855896,1746.5,360.1733703190014,46.5,12.988904299583911,-0.00024965325936198525
18,395.1977140903473,3057.5,593.504854368932,51.0,14.081830790568654,-2.0804438280152364e-05
19,409.17840671539307,1100.5,246.00069348127602,34.0,11.00624133148405,-1.3869625520098765e-05
20,423.6034264564514,1305.5,293.63938973647714,42.0,11.647018030513177,-2.773925104021054e-05
21,462.4065821170807,1523.5,326.752427184466,46.5,12.20388349514563,-0.0004576976421636503
22,476.2725040912628,1253.5,255.22052704576976,38.0,10.722607489597781,-0.00010402219140081887
23,490.7185983657837,2235.5,303.74271844660194,42.0,11.845353675450763,-0.0005547850208044247
24,529.7431619167328,1096.5,265.1733703190014,35.0,11.192787794729542,-0.0001386962552010987
25,543.8498685359955,909.0,208.60263522884884,32.5,10.244105409153953,-6.93481276005413e-05
26,583.5136704444885,1286.0,255.39597780859916,40.5,11.147711511789183,-1.386962552010042e-05
27,597.2894077301025,1108.0,240.9611650485437,37.0,10.583217753120666,-0.0002080443828016534
28,611.3673589229584,1521.5,228.94521497919555,44.0,10.062413314840498,-0.00011789181692093007
29,650.5274999141693,1945.5,307.3300970873786,46.5,10.907766990291261,-3.467406380026476e-05
30,664.4267485141754,1464.5,223.78294036061027,35.5,9.965325936199722,-0.0003120665742024859
31,678.2437632083893,651.5,167.64355062413316,31.5,8.882108183079056,-0.0007004160887655933
32,717.517205953598,1706.0,197.89736477115116,49.5,9.40360610263523,-0.00015256588072120846
33,731.3215379714966,1197.0,222.36615811373093,33.5,9.89112343966713,-0.0002080443828016556
34,745.1144454479218,735.5,189.09778085991678,31.5,9.294036061026352,-0.0005339805825242617
35,783.9936592578888,988.0,152.7135922330097,33.0,8.179611650485437,-4.160887656032325e-05
36,798.301894903183,1026.5,189.2357836338419,34.0,8.838418862690707,-0.000728155339805818
37,812.2035171985626,738.5,165.63037447988904,25.0,8.638002773925106,-0.0002149791955617104
38,850.8288559913635,881.5,150.39459084604715,31.0,7.999306518723994,-9.708737864076673e-05
39,864.7135527133942,1700.0,216.9355062413315,32.5,9.22122052704577,-8.321775312065701e-05
40,904.6820046901703,986.0,181.99237170596393,26.0,8.744798890429959,-1.3869625520102345e-05
41,918.7566449642181,1962.0,244.2642163661581,42.5,9.860610263522885,-0.0005686546463245413
42,932.5235188007355,910.5,166.16712898751734,29.0,8.432732316227462,-0.00011095700416088033
43,971.5499975681305,1845.5,234.6990291262136,40.5,9.195561719833565,-7.628294036060285e-05
44,985.3718264102936,628.0,159.20527045769762,27.5,8.475728155339805,-9.708737864076693e-05
45,999.3075430393219,807.5,170.91955617198334,32.0,8.420943134535367,-4.854368932037658e-05
46,1039.0310232639313,841.5,152.1712898751734,29.5,8.042995839112344,7.08325369386369e-18
47,1052.8844239711761,1913.5,207.94729542302358,28.0,8.215672676837725,-0.00011095700416087939
48,1066.4188659191132,707.0,142.53190013869624,29.5,7.5256588072122055,-1.3869625520102269e-05
49,1105.2701392173767,624.0,131.07142857142858,23.0,6.821775312066574,-7.628294036060264e-05
50,1118.782767534256,571.5,106.68030513176144,22.0,6.288488210818308,7.343101315785319e-18
51,1158.7079150676727,420.5,91.35298196948682,21.0,5.913314840499307,-0.00044382801664354213
52,1172.9519469738007,560.0,106.21012482662968,27.0,6.421636615811373,-4.1608876560325286e-05
53,1186.6361558437347,555.5,103.59015256588071,25.5,6.378640776699029,8.295875929497962e-18
54,1225.5502083301544,650.5,102.82662968099862,27.0,6.1830790568654646,-0.0008460471567267619
55,1239.1678655147552,579.0,105.03952843273231,23.0,6.05617198335645,7.545205021724365e-18
56,1252.6526019573212,568.0,98.16504854368932,23.5,6.0769764216366156,-1.386962552010327e-05
57,1291.006719827652,632.0,95.37933425797503,25.5,5.74618585298197,-0.00015256588072121404
58,1304.4086923599243,628.5,96.60263522884881,21.5,5.889736477115118,-7.628294036060498e-05
59,1318.5873711109161,498.5,84.19348127600554,21.0,5.478502080443828,-3.467406380027187e-05
60,1357.1091659069061,1542.5,144.7773925104022,31.0,6.514563106796116,-6.93481276004819e-06
61,1370.5802342891693,1016.5,120.57350901525658,24.5,5.873786407766991,-6.934812760048902e-06
62,1384.1137845516205,895.5,112.58599167822469,29.5,6.013869625520111,-6.934812760049517e-06
63,1423.6714823246002,663.5,98.33425797503467,22.5,5.8203883495145625,-2.7739251040213567e-05
64,1436.945160150528,813.5,105.1504854368932,26.0,5.814840499306518,-0.0001941747572815467
65,1475.6173183918,828.0,95.72954230235783,27.0,5.7309292649098476,-1.3869625520104291e-05
66,1489.2418892383575,1591.0,163.0478502080444,35.5,6.9986130374479885,-1.3869625520101769e-05
67,1502.8376433849335,1433.5,150.10887656033287,32.5,6.773231622746186,-6.24133148404912e-05
68,1541.873542547226,1149.5,136.3120665742025,30.5,6.334257975034674,-0.00011095700416088115
69,1555.3146936893463,876.0,105.29195561719834,28.0,5.856449375866852,-0.00011095700416087789
70,1569.0442907810211,1376.5,176.03398058252426,36.0,7.065880721220527,-4.8543689320380926e-05
71,1607.8420250415802,1370.0,133.40707350901525,38.0,6.466019417475728,-2.7739251040212045e-05
72,1621.8452398777008,3446.0,450.28640776699035,44.0,9.421636615811373,9.931953549004521e-18
73,1635.4810910224915,2352.5,185.07073509015257,40.5,7.588072122052704,-0.0001664355062413219
74,1674.3575677871704,1153.0,152.87864077669903,35.0,7.039528432732316,-1.3869625520102038e-05
75,1688.2977600097656,4593.5,576.622052704577,40.5,8.78987517337032,-1.3869625520099651e-05
76,1727.125049829483,1152.0,135.8259361997226,28.5,6.833564493758669,1.0259169072905833e-17
77,1740.641199350357,631.5,104.28363384188627,23.0,6.270457697642163,-0.0007975034674063694
78,1754.5775592327118,1584.5,190.84535367545078,33.0,7.470180305131761,-8.321775312065495e-05
79,1793.193077802658,806.5,116.74618585298197,27.0,6.602635228848821,-0.001650485436893194
80,1807.3828117847443,927.5,120.62343966712899,33.0,6.486823855755894,8.469107677445715e-18
81,1821.2999341487885,1894.0,178.82801664355063,43.0,7.472260748959778,-0.001366158113730918
82,1860.2637655735016,2244.0,242.2371705963939,43.5,7.980582524271844,-1.386962552010354e-05
83,1873.73202586174,513.0,94.2371705963939,26.0,5.964632454923716,-5.547850208043658e-05
84,1887.2627885341644,964.5,125.57281553398059,35.5,6.536754507628294,-0.00013176144244104386
85,1930.0255336761475,1286.0,156.95769764216368,33.5,7.058252427184466,9.508498165132236e-18
86,1944.1398658752441,2481.5,212.09292649098475,28.0,6.828016643550624,-4.160887656031751e-05
87,1983.3711364269257,3025.0,207.373786407767,28.0,6.94244105409154,-0.017919556171983347
88,1996.7296414375305,810.5,114.46463245492372,30.5,6.34882108183079,9.546994109120624e-18
89,2010.1635282039642,1186.0,126.86546463245492,38.0,6.49375866851595,-0.00020110957004159966
90,2047.9701750278473,1167.5,103.70873786407768,35.0,6.165742024965326,-4.854368932038129e-05
91,2061.5810256004333,1200.5,132.3106796116505,27.0,6.458391123439667,-2.7739251040212774e-05
