step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,0.0
25215.0,0.0,2,2.0
25220.0,0.0,2,10.0
25225.0,0.0,5,27.0
25230.0,0.0,7,51.0
25235.0,0.0,7,77.0
25240.0,0.0,8,108.0
25245.0,-0.02,7,128.0
25250.0,-0.09,8,162.0
25255.0,-0.039999999999999994,6,191.0
25260.0,0.06,7,210.0
25265.0,0.0,6,235.0
25270.0,-0.11000000000000001,12,287.0
25275.0,0.0,7,253.0
25280.0,0.14,4,93.0
25285.0,0.039999999999999994,2,86.0
25290.0,-0.009999999999999998,5,103.0
25295.0,0.009999999999999998,7,132.0
25300.0,0.0,8,170.0
25305.0,0.0,7,200.0
25310.0,-0.05,10,246.0
25315.0,0.05,9,275.0
25320.0,0.0,5,220.0
25325.0,-0.06999999999999999,3,112.0
25330.0,-0.13,6,126.0
25335.0,-0.03,4,142.0
25340.0,0.16,8,165.0
25345.0,-0.03,8,196.0
25350.0,-0.09,11,243.0
25355.0,0.15,7,253.0
25360.0,0.0,13,308.0
25365.0,-0.05,6,254.0
25370.0,-0.05,2,94.0
25375.0,0.06,4,98.0
25380.0,-0.04999999999999999,5,110.0
25385.0,0.06,5,119.0
25390.0,-0.010000000000000009,8,151.0
25395.0,0.07,7,173.0
25400.0,0.0,6,200.0
25405.0,0.0,7,232.0
25410.0,-0.04000000000000001,8,269.0
25415.0,0.04000000000000001,7,292.0
25420.0,-0.010000000000000002,8,329.0
25425.0,-0.030000000000000006,6,285.0
25430.0,-0.07999999999999999,3,128.0
25435.0,0.15,1,112.0
25440.0,0.0,6,140.0
25445.0,0.0,5,148.0
25450.0,0.0,4,167.0
25455.0,0.0,5,192.0
25460.0,0.0,6,215.0
25465.0,0.0,9,254.0
25470.0,0.0,8,294.0
25475.0,-0.01,11,340.0
25480.0,-0.049999999999999996,9,369.0
25485.0,0.049999999999999996,10,408.0
25490.0,-0.049999999999999996,9,433.0
25495.0,0.06,8,463.0
25500.0,0.0,8,501.0
25505.0,0.0,9,541.0
25510.0,0.0,9,586.0
25515.0,0.0,10,631.0
25520.0,-0.05,11,686.0
25525.0,0.05,10,725.0
25530.0,0.0,12,783.0
25535.0,0.0,13,836.0
25540.0,-0.06,10,671.0
25545.0,0.039999999999999994,4,496.0
25550.0,-0.009999999999999998,6,518.0
25555.0,0.009999999999999998,11,559.0
25560.0,0.0,9,423.0
25565.0,0.0,4,151.0
25570.0,0.0,1,91.0
25575.0,0.0,6,129.0
25580.0,0.0,7,161.0
25585.0,0.0,12,210.0
25590.0,0.0,8,211.0
25595.0,0.0,3,134.0
25600.0,0.0,1,137.0
25605.0,0.0,3,148.0
25610.0,0.0,7,174.0
25615.0,-0.02,8,210.0
25620.0,-0.019999999999999997,12,260.0
25625.0,0.019999999999999997,8,254.0
25630.0,-0.04,5,139.0
25635.0,0.04,2,138.0
25640.0,0.02,3,170.0
25645.0,0.0,6,203.0
25650.0,0.0,12,247.0
25655.0,-0.02,8,230.0
25660.0,-0.07999999999999999,5,148.0
25665.0,0.06,0,147.0
25670.0,-0.06,5,167.0
25675.0,0.09999999999999999,7,186.0
25680.0,0.0,9,228.0
25685.0,0.0,8,221.0
25690.0,0.02,3,121.0
25695.0,-0.02,3,121.0
25700.0,0.02,3,136.0
25705.0,-0.01,9,169.0
25710.0,0.01,12,214.0
25715.0,-0.03,9,213.0
25720.0,0.03,3,120.0
25725.0,-0.03,3,136.0
25730.0,0.019999999999999997,5,146.0
25735.0,0.0,7,176.0
25740.0,-0.01,10,219.0
25745.0,-0.06,15,278.0
25750.0,0.08,11,320.0
25755.0,0.0,11,362.0
25760.0,0.0,9,346.0
25765.0,0.0,3,212.0
25770.0,0.0,0,211.0
25775.0,0.0,4,248.0
25780.0,-0.02,9,282.0
25785.0,-0.05,13,345.0
25790.0,0.07,8,316.0
25795.0,0.0,7,189.0
25800.0,0.0,2,180.0
25805.0,-0.03,7,187.0
25810.0,0.03,9,221.0
25815.0,0.0,6,239.0
25820.0,0.0,7,256.0
25825.0,-0.06,9,289.0
25830.0,0.06,7,311.0
25835.0,0.0,9,349.0
25840.0,0.0,7,377.0
25845.0,-0.01,9,406.0
25850.0,0.01,13,462.0
25855.0,0.0,15,527.0
25860.0,0.0,11,564.0
25865.0,-0.01,13,620.0
25870.0,0.01,11,558.0
25875.0,0.0,7,397.0
25880.0,0.0,4,299.0
25885.0,0.0,6,370.0
25890.0,0.0,12,444.0
25895.0,0.0,15,499.0
25900.0,-0.03,13,522.0
25905.0,-0.05,8,453.0
25910.0,0.08,6,328.0
25915.0,0.0,6,339.0
25920.0,0.0,6,341.0
25925.0,-0.06,8,374.0
25930.0,0.03,11,416.0
25935.0,0.03,14,474.0
25940.0,0.0,19,547.0
25945.0,0.0,18,589.0
25950.0,-0.12,18,621.0
25955.0,0.06,14,625.0
25960.0,0.049999999999999996,11,644.0
25965.0,-0.01,14,671.0
25970.0,-0.06999999999999999,18,733.0
25975.0,0.09,8,695.0
25980.0,-0.04,12,693.0
25985.0,-0.010000000000000002,15,753.0
25990.0,-0.05,15,803.0
25995.0,0.1,14,843.0
26000.0,0.0,19,919.0
26005.0,0.0,16,978.0
26010.0,-0.03,15,1024.0
26015.0,0.009999999999999998,15,1102.0
26020.0,0.02,19,1182.0
26025.0,-0.04,25,1264.0
26030.0,-0.060000000000000005,21,1114.0
26035.0,0.09000000000000001,11,570.0
26040.0,-0.16,14,605.0
26045.0,-0.06,16,656.0
26050.0,0.18,20,720.0
26055.0,0.010000000000000002,14,732.0
26060.0,-0.12,16,734.0
26065.0,0.04000000000000001,18,789.0
26070.0,0.01999999999999999,25,862.0
26075.0,0.07,14,893.0
26080.0,0.009999999999999998,16,889.0
26085.0,0.0,18,947.0
26090.0,0.0,21,1025.0
26095.0,-0.02,16,1059.0
26100.0,-0.12,19,1107.0
26105.0,0.14,18,1152.0
26110.0,-0.06999999999999999,17,1204.0
26115.0,0.009999999999999995,14,941.0
26120.0,-0.009999999999999995,12,835.0
26125.0,0.01999999999999999,15,853.0
26130.0,-0.09,16,888.0
26135.0,0.01999999999999999,16,926.0
26140.0,-0.03999999999999998,21,1013.0
26145.0,0.0,16,1070.0
26150.0,0.04999999999999999,11,704.0
26155.0,0.010000000000000009,6,517.0
26160.0,-0.15000000000000002,9,548.0
26165.0,0.04000000000000001,13,575.0
26170.0,-0.1,15,587.0
26175.0,0.06,16,638.0
26180.0,-0.03999999999999998,16,695.0
26185.0,0.07999999999999999,16,744.0
26190.0,-0.03,21,820.0
26195.0,-0.09999999999999998,15,866.0
26200.0,-0.10000000000000003,17,899.0
26205.0,-0.13999999999999996,14,936.0
26210.0,-0.15000000000000002,15,995.0
26215.0,-0.20999999999999996,17,1065.0
26220.0,0.08999999999999997,13,1107.0
26225.0,0.54,11,1100.0
26230.0,-0.019999999999999962,12,1154.0
26235.0,-0.10000000000000003,13,1211.0
26240.0,-0.02999999999999997,14,1263.0
26245.0,0.13999999999999996,13,1302.0
26250.0,0.12000000000000002,16,1356.0
26255.0,-0.09,13,1408.0
26260.0,0.09,16,1452.0
26265.0,0.11,15,1513.0
26270.0,0.0,13,1564.0
26275.0,-0.009999999999999995,14,1623.0
26280.0,0.009999999999999995,17,1699.0
26285.0,-0.039999999999999994,16,1749.0
26290.0,0.01999999999999999,15,1792.0
26295.0,-0.04999999999999999,14,1850.0
26300.0,0.18,11,1564.0
26305.0,-0.08,9,998.0
26310.0,0.04,5,992.0
26315.0,0.0,4,1123.0
26320.0,-0.019999999999999997,13,1173.0
26325.0,-0.020000000000000004,12,1208.0
26330.0,-0.020000000000000004,11,1237.0
26335.0,-0.03,12,1275.0
26340.0,0.07,14,1325.0
26345.0,0.0,15,1383.0
26350.0,0.0,13,1434.0
26355.0,-0.020000000000000004,15,1490.0
26360.0,-0.19,22,1588.0
