step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,1.0
25215.0,0.0,2,3.0
25220.0,0.0,3,12.0
25225.0,0.0,5,29.0
25230.0,-0.04,9,58.0
25235.0,-0.049999999999999996,6,87.0
25240.0,-0.05000000000000002,8,121.0
25245.0,-0.04999999999999999,8,156.0
25250.0,0.19,7,167.0
25255.0,-0.01,7,199.0
25260.0,0.01,7,228.0
25265.0,-0.11,11,274.0
25270.0,0.020000000000000004,9,312.0
25275.0,0.06,13,360.0
25280.0,0.03,12,412.0
25285.0,0.0,13,475.0
25290.0,-0.01,14,539.0
25295.0,-0.049999999999999996,14,609.0
25300.0,0.06,13,668.0
25305.0,0.0,13,733.0
25310.0,0.0,13,798.0
25315.0,-0.01,15,864.0
25320.0,-0.12000000000000001,18,948.0
25325.0,-0.15000000000000002,19,1038.0
25330.0,-0.18999999999999995,21,1132.0
25335.0,0.019999999999999962,18,1208.0
25340.0,0.4,17,1251.0
25345.0,0.010000000000000002,17,1330.0
25350.0,-0.09,19,1421.0
25355.0,-0.15000000000000002,19,1513.0
25360.0,-0.15999999999999998,20,1610.0
25365.0,0.3,17,1663.0
25370.0,0.08000000000000002,19,1744.0
25375.0,-0.06,19,1835.0
25380.0,-0.11000000000000001,20,1933.0
25385.0,-0.1,20,2031.0
25390.0,-0.12,22,2133.0
25395.0,-0.14999999999999997,22,2241.0
25400.0,-0.15000000000000002,22,2351.0
25405.0,-0.15000000000000002,23,2463.0
25410.0,0.68,20,2495.0
25415.0,0.21,21,2574.0
25420.0,0.0,22,2678.0
25425.0,0.0,22,2788.0
25430.0,-0.03,23,2901.0
25435.0,-0.07,25,3019.0
25440.0,0.039999999999999994,25,3134.0
25445.0,-0.07,28,3267.0
25450.0,-0.09999999999999998,27,3402.0
25455.0,-0.010000000000000009,26,3528.0
25460.0,-0.08000000000000002,27,3659.0
25465.0,-0.09999999999999998,28,3794.0
25470.0,-0.10000000000000003,27,3929.0
25475.0,-0.10999999999999999,28,4065.0
25480.0,-0.15000000000000002,29,4209.0
25485.0,-0.16999999999999993,30,4356.0
25490.0,-0.19999999999999996,30,4506.0
25495.0,-0.20000000000000018,30,4656.0
25500.0,-0.19999999999999996,30,4806.0
25505.0,-0.19999999999999996,31,4956.0
